,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80
Observer: 2 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,1.114e-001,8.555e+000,1.837e+001,2.772e+001,3.922e+001,5.208e+001,6.380e+001,7.399e+001,8.383e+001,9.846e+001,1.142e+002,1.179e-001,8.170e+000,8.286e+000,1.191e+001,1.665e+001,2.235e+001,2.698e+001,3.096e+001,3.476e+001,4.029e+001,4.746e+001,1.097e-001,2.861e+000,6.518e+000,9.685e+000,1.375e+001,1.834e+001,2.249e+001,2.626e+001,3.035e+001,3.698e+001,4.429e+001,1.103e-001,1.598e+000,3.180e+000,4.720e+000,7.102e+000,9.298e+000,1.126e+001,1.313e+001,1.556e+001,1.831e+001,2.060e+001,7.049e+001,7.364e+001,7.220e+001,6.872e+001,6.446e+001,5.585e+001,4.695e+001,3.920e+001,3.335e+001,2.994e+001,3.114e+001,3.436e+001,4.008e+001,4.847e+001,5.544e+001,6.298e+001,5.223e+001,4.730e+001,6.236e+001,8.072e+001,7.741e+001,5.797e+001,4.558e+001,5.385e+001,6.372e+001,4.705e+001,2.936e+001,2.798e+001,4.848e+001,6.889e+001,4.734e+001,4.422e+001,2.075e+001,1.145e+002,1.259e-001,5.243e+001
Y,1.146e-001,8.713e+000,1.932e+001,2.917e+001,4.090e+001,5.506e+001,6.777e+001,7.841e+001,8.898e+001,1.049e+002,1.225e+002,1.199e-001,4.257e+000,4.314e+000,6.178e+000,8.678e+000,1.154e+001,1.406e+001,1.608e+001,1.808e+001,2.093e+001,2.443e+001,1.102e-001,5.813e+000,1.341e+001,1.961e+001,2.768e+001,3.774e+001,4.667e+001,5.382e+001,6.168e+001,7.511e+001,8.825e+001,1.122e-001,6.342e-001,1.234e+000,1.704e+000,2.819e+000,3.466e+000,4.158e+000,5.166e+000,6.028e+000,7.016e+000,7.920e+000,5.534e+001,5.505e+001,5.393e+001,5.318e+001,5.366e+001,5.332e+001,5.331e+001,5.303e+001,5.222e+001,5.256e+001,5.433e+001,5.499e+001,5.571e+001,5.615e+001,5.546e+001,5.482e+001,5.502e+001,2.432e+001,5.517e+001,9.196e+001,1.057e+002,9.564e+001,8.875e+001,9.164e+001,9.561e+001,6.055e+001,2.482e+001,1.179e+001,2.239e+001,3.276e+001,2.434e+001,8.819e+001,8.003e+000,1.221e+002,1.181e-001,5.527e+001
Z,2.251e-001,9.525e+000,1.966e+001,2.936e+001,4.228e+001,5.696e+001,6.963e+001,8.151e+001,9.421e+001,1.104e+002,1.244e+002,2.139e-001,7.926e-001,7.985e-001,1.030e+000,1.163e+000,1.654e+000,1.661e+000,1.300e+000,2.300e+000,1.892e+000,2.023e+000,2.343e-001,1.154e+000,1.862e+000,3.203e+000,4.508e+000,6.184e+000,7.456e+000,8.406e+000,9.155e+000,1.013e+001,1.196e+001,2.221e-001,7.919e+000,1.610e+001,2.405e+001,3.481e+001,4.750e+001,5.758e+001,6.628e+001,7.861e+001,9.299e+001,1.068e+002,5.539e+001,7.560e+001,9.414e+001,1.127e+002,1.165e+002,1.128e+002,9.554e+001,7.654e+001,5.639e+001,3.411e+001,2.089e+001,1.095e+001,8.275e+000,1.165e+001,2.072e+001,3.366e+001,5.706e+001,2.229e+000,6.947e+000,1.175e+001,1.350e+001,1.277e+001,1.849e+001,6.160e+001,1.124e+002,1.182e+002,1.126e+002,1.078e+002,1.088e+002,1.094e+002,2.161e+000,1.186e+001,1.069e+002,1.250e+002,2.221e-001,5.722e+001
CCT,27435,6170,6064,6008,6070,6219,6227,6274,6403,6403,6255,16080,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62867,6231,6054,6089,6068,6145,6156,6103,6048,6000,5941,28081,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3004,3479,6029,16778,28179,42190,20821,13919,10291,7699,6375,5345,4598,3868,3415,3014,6197,N/A,2435,3617,4466,5266,6117,7668,10983,60705,N/A,N/A,N/A,2180,N/A,5940,N/A,6248,16478,6193
MK -¹,36.4,162.1,164.9,166.5,164.8,160.8,160.6,159.4,156.2,156.2,159.9,62.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.9,160.5,165.2,164.2,164.8,162.7,162.4,163.9,165.3,166.7,168.3,35.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,332.9,287.4,165.9,59.6,35.5,23.7,48.0,71.8,97.2,129.9,156.9,187.1,217.5,258.5,292.8,331.8,161.4,N/A,410.7,276.5,223.9,189.9,163.5,130.4,91.1,16.5,N/A,N/A,N/A,458.7,N/A,168.3,N/A,160.1,60.7,161.5
u-v Dev,0.0050,-0.0021,0.0035,0.0037,0.0020,0.0042,0.0050,0.0046,0.0048,0.0055,0.0066,0.0009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0032,0.1000,0.1028,0.1005,0.1000,0.1022,0.1031,0.1019,0.1013,0.1016,0.0996,0.0033,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.0388,-0.0541,-0.0575,-0.0459,-0.0302,-0.0057,0.0189,0.0418,0.0602,0.0765,0.0797,0.0737,0.0580,0.0333,0.0095,-0.0149,0.0037,N/A,0.0088,0.0342,0.0565,0.0790,0.0954,0.0727,0.0548,0.0387,N/A,N/A,N/A,-0.1376,N/A,0.0997,N/A,0.0057,-0.0122,0.0038
x,0.2470,0.3193,0.3203,0.3214,0.3204,0.3174,0.3171,0.3163,0.3140,0.3138,0.3163,0.2609,0.6180,0.6184,0.6229,0.6285,0.6289,0.6318,0.6405,0.6304,0.6384,0.6421,0.2415,0.2911,0.2991,0.2980,0.2993,0.2945,0.2936,0.2968,0.3000,0.3026,0.3065,0.2481,0.1575,0.1550,0.1549,0.1588,0.1543,0.1542,0.1552,0.1553,0.1547,0.1522,0.3890,0.3605,0.3278,0.2929,0.2747,0.2516,0.2398,0.2323,0.2349,0.2568,0.2928,0.3426,0.3851,0.4169,0.4212,0.4158,0.3179,0.6405,0.5010,0.4377,0.3936,0.3484,0.2983,0.2600,0.2345,0.2084,0.1761,0.1896,0.2699,0.3264,0.6411,0.3065,0.1530,0.3166,0.2701,0.3179
y,0.2541,0.3252,0.3369,0.3382,0.3341,0.3355,0.3368,0.3352,0.3332,0.3345,0.3392,0.2654,0.3220,0.3220,0.3232,0.3276,0.3246,0.3293,0.3326,0.3279,0.3316,0.3305,0.2427,0.5914,0.6154,0.6034,0.6026,0.6061,0.6091,0.6082,0.6096,0.6145,0.6108,0.2524,0.0625,0.0601,0.0559,0.0630,0.0575,0.0570,0.0611,0.0602,0.0593,0.0585,0.3054,0.2695,0.2448,0.2267,0.2287,0.2402,0.2723,0.3142,0.3678,0.4508,0.5109,0.5482,0.5353,0.4829,0.4214,0.3620,0.3348,0.3293,0.4432,0.4986,0.5377,0.5748,0.5807,0.4425,0.3519,0.2682,0.1489,0.0799,0.1246,0.1552,0.3296,0.6113,0.0590,0.3376,0.2533,0.3352
u,0.1779,0.2039,0.2002,0.2004,0.2012,0.1986,0.1979,0.1980,0.1971,0.1965,0.1965,0.1843,0.4392,0.4396,0.4424,0.4430,0.4462,0.4442,0.4486,0.4444,0.4478,0.4520,0.1779,0.1224,0.1223,0.1236,0.1243,0.1216,0.1208,0.1223,0.1235,0.1239,0.1262,0.1794,0.1834,0.1817,0.1843,0.1847,0.1825,0.1828,0.1814,0.1821,0.1819,0.1792,0.2643,0.2616,0.2482,0.2282,0.2115,0.1871,0.1657,0.1473,0.1353,0.1301,0.1370,0.1541,0.1780,0.2095,0.2335,0.2554,0.1992,0.4517,0.2739,0.2159,0.1817,0.1515,0.1273,0.1335,0.1389,0.1437,0.1588,0.2119,0.2729,0.3102,0.4521,0.1261,0.1798,0.1973,0.1965,0.1991
v,0.2744,0.3115,0.3157,0.3163,0.3148,0.3150,0.3154,0.3148,0.3138,0.3142,0.3161,0.2812,0.3433,0.3433,0.3443,0.3464,0.3455,0.3474,0.3495,0.3467,0.3489,0.3490,0.2682,0.3729,0.3773,0.3754,0.3753,0.3755,0.3759,0.3760,0.3765,0.3774,0.3772,0.2737,0.1091,0.1057,0.0998,0.1100,0.1020,0.1013,0.1071,0.1058,0.1046,0.1033,0.3113,0.2933,0.2781,0.2649,0.2642,0.2679,0.2823,0.2990,0.3178,0.3425,0.3587,0.3699,0.3712,0.3640,0.3505,0.3335,0.3148,0.3484,0.3635,0.3690,0.3723,0.3748,0.3718,0.3408,0.3126,0.2774,0.2014,0.1339,0.1890,0.2212,0.3486,0.3772,0.1041,0.3156,0.2764,0.3149
u',0.1779,0.2039,0.2002,0.2004,0.2012,0.1986,0.1979,0.1980,0.1971,0.1965,0.1965,0.1843,0.4392,0.4396,0.4424,0.4430,0.4462,0.4442,0.4486,0.4444,0.4478,0.4520,0.1779,0.1224,0.1223,0.1236,0.1243,0.1216,0.1208,0.1223,0.1235,0.1239,0.1262,0.1794,0.1834,0.1817,0.1843,0.1847,0.1825,0.1828,0.1814,0.1821,0.1819,0.1792,0.2643,0.2616,0.2482,0.2282,0.2115,0.1871,0.1657,0.1473,0.1353,0.1301,0.1370,0.1541,0.1780,0.2095,0.2335,0.2554,0.1992,0.4517,0.2739,0.2159,0.1817,0.1515,0.1273,0.1335,0.1389,0.1437,0.1588,0.2119,0.2729,0.3102,0.4521,0.1261,0.1798,0.1973,0.1965,0.1991
v',0.4116,0.4673,0.4736,0.4744,0.4722,0.4725,0.4731,0.4721,0.4708,0.4714,0.4742,0.4218,0.5149,0.5150,0.5164,0.5196,0.5182,0.5211,0.5242,0.5201,0.5234,0.5235,0.4023,0.5594,0.5659,0.5631,0.5630,0.5633,0.5639,0.5640,0.5647,0.5661,0.5657,0.4106,0.1637,0.1586,0.1497,0.1650,0.1531,0.1519,0.1606,0.1587,0.1569,0.1550,0.4669,0.4399,0.4171,0.3973,0.3962,0.4019,0.4234,0.4485,0.4767,0.5138,0.5381,0.5548,0.5568,0.5459,0.5257,0.5003,0.4722,0.5227,0.5452,0.5535,0.5585,0.5623,0.5577,0.5112,0.4689,0.4161,0.3021,0.2009,0.2835,0.3318,0.5229,0.5659,0.1561,0.4734,0.4146,0.4723
Observer: 10 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,1.236e-001,9.358e+000,2.015e+001,3.042e+001,4.300e+001,5.715e+001,7.007e+001,8.124e+001,9.211e+001,1.082e+002,1.257e+002,1.304e-001,8.375e+000,8.493e+000,1.220e+001,1.704e+001,2.289e+001,2.762e+001,3.168e+001,3.554e+001,4.125e+001,4.852e+001,1.208e-001,3.396e+000,7.755e+000,1.148e+001,1.630e+001,2.181e+001,2.677e+001,3.121e+001,3.606e+001,4.394e+001,5.250e+001,1.221e-001,1.750e+000,3.478e+000,5.166e+000,7.744e+000,1.016e+001,1.230e+001,1.437e+001,1.702e+001,2.004e+001,2.253e+001,7.496e+001,7.832e+001,7.711e+001,7.397e+001,6.996e+001,6.154e+001,5.265e+001,4.482e+001,3.873e+001,3.510e+001,3.622e+001,3.924e+001,4.480e+001,5.302e+001,5.984e+001,6.728e+001,5.731e+001,4.836e+001,6.625e+001,8.803e+001,8.643e+001,6.654e+001,5.393e+001,6.296e+001,7.376e+001,5.388e+001,3.289e+001,3.012e+001,5.110e+001,7.193e+001,4.840e+001,5.243e+001,2.270e+001,1.259e+002,1.386e-001,5.753e+001
Y,1.278e-001,9.405e+000,2.080e+001,3.136e+001,4.403e+001,5.930e+001,7.294e+001,8.446e+001,9.589e+001,1.130e+002,1.316e+002,1.323e-001,4.450e+000,4.510e+000,6.456e+000,9.073e+000,1.204e+001,1.468e+001,1.675e+001,1.892e+001,2.179e+001,2.546e+001,1.243e-001,6.081e+000,1.397e+001,2.048e+001,2.887e+001,3.941e+001,4.874e+001,5.617e+001,6.429e+001,7.819e+001,9.178e+001,1.250e-001,9.540e-001,1.883e+000,2.663e+000,4.257e+000,5.417e+000,6.490e+000,7.852e+000,9.220e+000,1.081e+001,1.232e+001,5.955e+001,6.003e+001,5.958e+001,5.953e+001,6.017e+001,5.966e+001,5.894e+001,5.791e+001,5.629e+001,5.580e+001,5.714e+001,5.745e+001,5.811e+001,5.871e+001,5.835e+001,5.819e+001,5.925e+001,2.536e+001,5.755e+001,9.582e+001,1.100e+002,9.947e+001,9.252e+001,9.716e+001,1.032e+002,6.733e+001,3.008e+001,1.636e+001,2.740e+001,3.821e+001,2.537e+001,9.171e+001,1.239e+001,1.312e+002,1.302e-001,5.952e+001
Z,2.442e-001,1.028e+001,2.118e+001,3.167e+001,4.560e+001,6.134e+001,7.500e+001,8.780e+001,1.015e+002,1.189e+002,1.340e+002,2.322e-001,8.747e-001,8.799e-001,1.135e+000,1.263e+000,1.827e+000,1.813e+000,1.417e+000,2.457e+000,2.120e+000,2.205e+000,2.533e-001,1.089e+000,1.655e+000,2.923e+000,4.170e+000,5.643e+000,6.756e+000,7.617e+000,8.275e+000,8.997e+000,1.073e+001,2.414e-001,8.696e+000,1.767e+001,2.643e+001,3.819e+001,5.212e+001,6.318e+001,7.274e+001,8.628e+001,1.021e+002,1.171e+002,5.999e+001,8.220e+001,1.025e+002,1.228e+002,1.268e+002,1.227e+002,1.036e+002,8.263e+001,6.047e+001,3.596e+001,2.143e+001,1.057e+001,7.712e+000,1.155e+001,2.167e+001,3.604e+001,6.148e+001,2.445e+000,6.701e+000,1.096e+001,1.240e+001,1.161e+001,1.790e+001,6.523e+001,1.208e+002,1.281e+002,1.230e+002,1.182e+002,1.193e+002,1.200e+002,2.369e+000,1.061e+001,1.172e+002,1.347e+002,2.425e-001,6.164e+001
CCT,23218,6017,5881,5820,5894,6022,6020,6071,6201,6193,6027,15008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38347,5716,5544,5585,5565,5632,5642,5593,5539,5487,5429,24105,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3117,3820,6706,16486,24925,32680,18536,12822,9564,7140,5892,4923,4244,3614,3262,2982,6003,N/A,2351,3370,4110,4823,5604,7112,10201,39474,N/A,N/A,N/A,N/A,N/A,5427,N/A,6027,15826,5998
MK -¹,43.1,166.2,170.0,171.8,169.7,166.1,166.1,164.7,161.3,161.5,165.9,66.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.1,174.9,180.4,179.1,179.7,177.6,177.2,178.8,180.5,182.2,184.2,41.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,320.8,261.8,149.1,60.7,40.1,30.6,53.9,78.0,104.6,140.1,169.7,203.1,235.6,276.7,306.5,335.3,166.6,N/A,425.4,296.7,243.3,207.3,178.4,140.6,98.0,25.3,N/A,N/A,N/A,N/A,N/A,184.3,N/A,165.9,63.2,166.7
u-v Dev,0.0051,-0.0042,0.0005,0.0004,-0.0009,0.0013,0.0018,0.0015,0.0016,0.0022,0.0028,-0.0001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0061,0.0871,0.0894,0.0876,0.0868,0.0891,0.0900,0.0888,0.0879,0.0881,0.0861,0.0037,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.0377,-0.0506,-0.0511,-0.0388,-0.0250,-0.0039,0.0163,0.0353,0.0508,0.0649,0.0680,0.0634,0.0499,0.0282,0.0067,-0.0158,0.0007,N/A,0.0080,0.0295,0.0482,0.0679,0.0820,0.0609,0.0457,0.0341,N/A,N/A,N/A,N/A,N/A,0.0862,N/A,0.0021,-0.0121,0.0008
x,0.2494,0.3222,0.3243,0.3255,0.3242,0.3214,0.3214,0.3205,0.3181,0.3182,0.3211,0.2636,0.6113,0.6118,0.6164,0.6224,0.6226,0.6261,0.6355,0.6245,0.6331,0.6368,0.2423,0.3214,0.3316,0.3291,0.3304,0.3262,0.3255,0.3286,0.3319,0.3351,0.3387,0.2500,0.1535,0.1510,0.1508,0.1543,0.1501,0.1500,0.1514,0.1513,0.1508,0.1483,0.3854,0.3551,0.3224,0.2886,0.2723,0.2524,0.2447,0.2418,0.2491,0.2767,0.3156,0.3659,0.4050,0.4301,0.4278,0.4166,0.3219,0.6349,0.5077,0.4519,0.4139,0.3746,0.3281,0.2794,0.2476,0.2162,0.1769,0.1829,0.2583,0.3125,0.6357,0.3388,0.1490,0.3212,0.2711,0.3220
y,0.2578,0.3238,0.3348,0.3356,0.3320,0.3336,0.3346,0.3332,0.3312,0.3323,0.3363,0.2673,0.3248,0.3248,0.3262,0.3314,0.3277,0.3328,0.3361,0.3324,0.3344,0.3342,0.2495,0.5755,0.5976,0.5871,0.5851,0.5894,0.5924,0.5912,0.5919,0.5963,0.5921,0.2559,0.0837,0.0818,0.0777,0.0848,0.0800,0.0792,0.0827,0.0819,0.0813,0.0810,0.3062,0.2722,0.2490,0.2323,0.2341,0.2447,0.2739,0.3124,0.3620,0.4399,0.4978,0.5356,0.5253,0.4762,0.4172,0.3603,0.3328,0.3330,0.4410,0.4919,0.5267,0.5600,0.5630,0.4311,0.3466,0.2701,0.1618,0.0993,0.1385,0.1660,0.3332,0.5926,0.0813,0.3349,0.2546,0.3331
u,0.1783,0.2065,0.2037,0.2042,0.2047,0.2022,0.2018,0.2017,0.2008,0.2004,0.2009,0.1856,0.4309,0.4312,0.4340,0.4343,0.4380,0.4362,0.4412,0.4352,0.4407,0.4440,0.1759,0.1388,0.1395,0.1402,0.1412,0.1385,0.1376,0.1393,0.1407,0.1413,0.1437,0.1795,0.1661,0.1642,0.1661,0.1664,0.1640,0.1644,0.1641,0.1644,0.1641,0.1613,0.2611,0.2556,0.2413,0.2216,0.2068,0.1859,0.1688,0.1544,0.1455,0.1433,0.1513,0.1683,0.1907,0.2190,0.2393,0.2567,0.2028,0.4436,0.2791,0.2260,0.1949,0.1670,0.1442,0.1468,0.1486,0.1488,0.1542,0.1912,0.2493,0.2863,0.4440,0.1437,0.1621,0.2015,0.1967,0.2027
v,0.2765,0.3113,0.3154,0.3158,0.3144,0.3147,0.3150,0.3145,0.3135,0.3139,0.3156,0.2823,0.3434,0.3435,0.3445,0.3469,0.3457,0.3478,0.3500,0.3475,0.3491,0.3495,0.2717,0.3728,0.3771,0.3753,0.3750,0.3754,0.3758,0.3759,0.3762,0.3772,0.3768,0.2756,0.1358,0.1333,0.1285,0.1372,0.1312,0.1301,0.1345,0.1336,0.1328,0.1323,0.3112,0.2939,0.2796,0.2675,0.2668,0.2703,0.2835,0.2992,0.3173,0.3416,0.3580,0.3696,0.3711,0.3638,0.3501,0.3331,0.3145,0.3489,0.3636,0.3690,0.3721,0.3745,0.3712,0.3397,0.3121,0.2790,0.2116,0.1558,0.2005,0.2281,0.3491,0.3769,0.1327,0.3151,0.2771,0.3146
u',0.1783,0.2065,0.2037,0.2042,0.2047,0.2022,0.2018,0.2017,0.2008,0.2004,0.2009,0.1856,0.4309,0.4312,0.4340,0.4343,0.4380,0.4362,0.4412,0.4352,0.4407,0.4440,0.1759,0.1388,0.1395,0.1402,0.1412,0.1385,0.1376,0.1393,0.1407,0.1413,0.1437,0.1795,0.1661,0.1642,0.1661,0.1664,0.1640,0.1644,0.1641,0.1644,0.1641,0.1613,0.2611,0.2556,0.2413,0.2216,0.2068,0.1859,0.1688,0.1544,0.1455,0.1433,0.1513,0.1683,0.1907,0.2190,0.2393,0.2567,0.2028,0.4436,0.2791,0.2260,0.1949,0.1670,0.1442,0.1468,0.1486,0.1488,0.1542,0.1912,0.2493,0.2863,0.4440,0.1437,0.1621,0.2015,0.1967,0.2027
v',0.4147,0.4670,0.4731,0.4737,0.4716,0.4720,0.4726,0.4717,0.4703,0.4709,0.4734,0.4235,0.5151,0.5152,0.5167,0.5204,0.5186,0.5217,0.5249,0.5212,0.5237,0.5243,0.4076,0.5592,0.5657,0.5629,0.5626,0.5631,0.5637,0.5638,0.5644,0.5658,0.5652,0.4134,0.2037,0.2000,0.1927,0.2058,0.1968,0.1952,0.2017,0.2004,0.1992,0.1984,0.4668,0.4409,0.4194,0.4012,0.4002,0.4054,0.4252,0.4488,0.4759,0.5125,0.5370,0.5544,0.5566,0.5457,0.5251,0.4996,0.4717,0.5234,0.5454,0.5534,0.5582,0.5618,0.5568,0.5096,0.4681,0.4185,0.3174,0.2336,0.3007,0.3422,0.5236,0.5654,0.1990,0.4727,0.4156,0.4719
